epoch,loss,lr,val_loss
0,8.470527245663106e-05,1e-04,8.991015783976763e-05
1,8.21134090074338e-05,1e-04,7.989177538547665e-05
2,7.628026651218534e-05,1e-04,6.812225183239207e-05
3,7.355507113970816e-05,1e-04,7.583245314890519e-05
4,6.889477663207799e-05,1e-04,6.362343265209347e-05
5,6.904445763211697e-05,1e-04,7.735691906418651e-05
6,6.512920663226396e-05,1e-04,6.325354479486123e-05
7,6.50668516755104e-05,1e-04,7.4128714913968e-05
8,6.347973248921335e-05,1e-04,6.330771429929882e-05
9,6.015038525220007e-05,1e-04,5.951731509412639e-05
10,6.00880230194889e-05,1e-04,7.168215233832598e-05
11,5.619942749035545e-05,1e-04,6.688550638500601e-05
12,5.605627302429639e-05,1e-04,6.865004252176732e-05
13,5.326949030859396e-05,1e-04,7.108546560630202e-05
14,5.381330265663564e-05,1e-04,7.175786595325917e-05
15,4.702286241808906e-05,5e-05,4.444102887646295e-05
16,4.4901018554810435e-05,5e-05,6.00391867919825e-05
17,4.2774350731633604e-05,5e-05,6.456968549173325e-05
18,4.14098976762034e-05,5e-05,5.3936113545205444e-05
19,4.35122856288217e-05,5e-05,6.3123028667178e-05
20,4.2636849684640765e-05,5e-05,5.3432035201694816e-05
21,4.22004668507725e-05,5e-05,5.0710725190583616e-05
22,3.897797432728112e-05,2.5e-05,6.579978798981756e-05
23,3.6611683754017577e-05,2.5e-05,5.516506644198671e-05
24,3.681409725686535e-05,2.5e-05,4.995698691345751e-05
25,3.6199064197717234e-05,2.5e-05,6.065506750019267e-05
26,3.501021274132654e-05,2.5e-05,7.239877595566213e-05
27,3.6779794754693285e-05,2.5e-05,5.39414759259671e-05
28,3.37514175043907e-05,2.5e-05,6.524770287796855e-05
29,3.4783995943143964e-05,1.25e-05,6.422885053325444e-05
30,3.3151194656966254e-05,1.25e-05,7.258790719788522e-05
31,3.3227599487872794e-05,1.25e-05,6.017140549374744e-05
32,3.234574614907615e-05,1.25e-05,5.464815694722347e-05
33,3.302503682789393e-05,1.25e-05,5.8867211919277906e-05
34,3.1859060982242227e-05,1.25e-05,6.038419087417424e-05
35,3.144988295389339e-05,1.25e-05,5.541643622564152e-05
36,3.0493178201140836e-05,6.25e-06,5.541482096305117e-05
37,3.0330416848300956e-05,6.25e-06,5.6599841627757996e-05
38,3.042579919565469e-05,6.25e-06,7.444772927556187e-05
39,2.932891766249668e-05,6.25e-06,6.189740815898404e-05
40,2.922846942965407e-05,6.25e-06,6.367459718603641e-05
